Station Name,Time Period,Avg Daily Entries,December_21_2024,Season
Mt Vernon Sq,PM Peak (3pm-7pm),1.5K,December_21_2024,Winter
Morgan Boulevard,PM Peak (3pm-7pm),0.1K,December_21_2024,Winter
Minnesota Ave,PM Peak (3pm-7pm),0.5K,December_21_2024,Winter
Metro Center,PM Peak (3pm-7pm),10.1K,December_21_2024,Winter
Medical Center,PM Peak (3pm-7pm),2.2K,December_21_2024,Winter
McPherson Sq,PM Peak (3pm-7pm),4.9K,December_21_2024,Winter
McLean,PM Peak (3pm-7pm),1.7K,December_21_2024,Winter
Loudoun Gateway,PM Peak (3pm-7pm),0.1K,December_21_2024,Winter
Landover,PM Peak (3pm-7pm),0.1K,December_21_2024,Winter
L'Enfant Plaza,PM Peak (3pm-7pm),7.0K,December_21_2024,Winter
King St-Old Town,PM Peak (3pm-7pm),1.1K,December_21_2024,Winter
Judiciary Square,PM Peak (3pm-7pm),2.9K,December_21_2024,Winter
Innovation Center,PM Peak (3pm-7pm),0.2K,December_21_2024,Winter
Hyattsville Crossing,PM Peak (3pm-7pm),0.7K,December_21_2024,Winter
Huntington,PM Peak (3pm-7pm),0.4K,December_21_2024,Winter
Herndon,PM Peak (3pm-7pm),0.1K,December_21_2024,Winter
Grosvenor-Strathmore,PM Peak (3pm-7pm),0.4K,December_21_2024,Winter
Greensboro,PM Peak (3pm-7pm),0.6K,December_21_2024,Winter
Greenbelt,PM Peak (3pm-7pm),0.5K,December_21_2024,Winter
Glenmont,PM Peak (3pm-7pm),0.4K,December_21_2024,Winter
Georgia Ave-Petworth,PM Peak (3pm-7pm),1.4K,December_21_2024,Winter
Gallery Place,PM Peak (3pm-7pm),7.1K,December_21_2024,Winter
Friendship Heights,PM Peak (3pm-7pm),1.4K,December_21_2024,Winter
Franconia-Springfield,PM Peak (3pm-7pm),0.6K,December_21_2024,Winter
Fort Totten,PM Peak (3pm-7pm),1.9K,December_21_2024,Winter
Forest Glen,PM Peak (3pm-7pm),0.2K,December_21_2024,Winter
Foggy Bottom-GWU,PM Peak (3pm-7pm),8.3K,December_21_2024,Winter
Federal Triangle,PM Peak (3pm-7pm),3.7K,December_21_2024,Winter
Federal Center SW,PM Peak (3pm-7pm),2.2K,December_21_2024,Winter
Farragut West,PM Peak (3pm-7pm),7.8K,December_21_2024,Winter
Farragut North,PM Peak (3pm-7pm),8.9K,December_21_2024,Winter
Eisenhower Ave,PM Peak (3pm-7pm),0.4K,December_21_2024,Winter
Eastern Market,PM Peak (3pm-7pm),1.2K,December_21_2024,Winter
East Falls Church,PM Peak (3pm-7pm),0.5K,December_21_2024,Winter
Dupont Circle,PM Peak (3pm-7pm),5.3K,December_21_2024,Winter
Dunn Loring,PM Peak (3pm-7pm),0.5K,December_21_2024,Winter
Dulles Airport,PM Peak (3pm-7pm),1.0K,December_21_2024,Winter
Downtown Largo,PM Peak (3pm-7pm),0.3K,December_21_2024,Winter
Deanwood,PM Peak (3pm-7pm),0.3K,December_21_2024,Winter
Crystal City,PM Peak (3pm-7pm),2.4K,December_21_2024,Winter
Court House,PM Peak (3pm-7pm),1.1K,December_21_2024,Winter
Congress Heights,PM Peak (3pm-7pm),0.3K,December_21_2024,Winter
Columbia Heights,PM Peak (3pm-7pm),3.4K,December_21_2024,Winter
College Park-U of Md,PM Peak (3pm-7pm),0.7K,December_21_2024,Winter
Cleveland Park,PM Peak (3pm-7pm),0.7K,December_21_2024,Winter
Clarendon,PM Peak (3pm-7pm),0.9K,December_21_2024,Winter
Cheverly,PM Peak (3pm-7pm),0.1K,December_21_2024,Winter
Capitol South,PM Peak (3pm-7pm),3.3K,December_21_2024,Winter
Capitol Heights,PM Peak (3pm-7pm),0.3K,December_21_2024,Winter
Brookland-CUA,PM Peak (3pm-7pm),1.7K,December_21_2024,Winter
Branch Ave,PM Peak (3pm-7pm),0.2K,December_21_2024,Winter
